snippetList_name2 - album2_life-after-youv2_cut1mobile.wav_stft.txt_vectors.txt
38 56 8 39
38 54 9 39
38 51 10 39
38 35 12 39
38 30 13 39
38 23 15 39
38 47 18 39
38 51 20 39
38 43 24 39
38 40 26 39
38 41 32 39
81 63 7 39
81 78 9 39
81 89 10 39
81 92 13 39
81 64 16 39
81 91 17 39
81 91 18 39
81 91 19 39
81 75 23 39
81 92 24 39
81 75 25 39
81 70 26 39
81 91 28 39
81 75 32 39
81 64 33 39
55 58 5 40
55 63 6 40
55 56 7 40
55 54 8 40
55 51 9 40
55 35 11 40
55 60 14 40
55 64 15 40
55 47 17 40
55 51 19 40
55 60 21 40
55 60 22 40
55 43 23 40
55 40 25 40
55 70 25 40
55 60 30 40
55 41 31 40
55 58 32 40
55 64 32 40
55 60 34 40
115 118 5 40
115 125 7 40
115 123 11 40
115 125 13 40
115 124 21 40
115 123 26 40
115 111 28 40
115 111 29 40
115 111 30 40
115 111 33 40
109 125 6 41
109 89 8 41
109 123 10 41
109 92 11 41
109 125 12 41
109 91 15 41
109 91 16 41
109 91 17 41
109 124 20 41
109 92 22 41
109 123 25 41
109 91 26 41
109 111 27 41
109 111 28 41
109 111 29 41
109 111 32 41
109 111 34 41
127 125 6 41
127 123 10 41
127 125 12 41
127 124 20 41
127 123 25 41
127 111 27 41
127 111 28 41
127 111 29 41
127 111 32 41
127 111 34 41
117 125 5 42
117 123 9 42
117 125 11 42
117 124 19 42
117 123 24 42
117 111 26 42
117 111 27 42
117 111 28 42
117 111 31 42
117 111 33 42
117 122 34 42
46 54 5 43
46 51 6 43
46 35 8 43
46 30 9 43
46 60 11 43
46 64 12 43
46 47 14 43
46 51 16 43
46 60 18 43
46 60 19 43
46 43 20 43
46 40 22 43
46 60 27 43
46 41 28 43
46 58 29 43
46 64 29 43
46 60 31 43
46 39 32 43
46 45 34 43
118 123 8 43
118 125 10 43
118 124 18 43
118 123 23 43
118 111 25 43
118 111 26 43
118 111 27 43
118 111 30 43
118 111 32 43
118 122 33 43
118 111 34 43
101 89 5 44
101 92 8 44
101 91 12 44
101 91 13 44
101 91 14 44
101 92 19 44
101 91 23 44
101 111 24 44
101 111 25 44
101 111 26 44
101 111 29 44
101 87 30 44
101 111 31 44
101 111 33 44
101 119 34 44
30 35 6 45
30 30 7 45
30 14 8 45
30 17 8 45
30 23 9 45
30 47 12 45
30 43 18 45
30 13 20 45
30 40 20 45
30 41 26 45
30 39 30 45
30 19 32 45
30 45 32 45
30 42 33 45
58 60 9 45
58 64 10 45
58 47 12 45
58 51 14 45
58 60 16 45
58 60 17 45
58 75 17 45
58 43 18 45
58 75 19 45
58 40 20 45
58 70 20 45
58 60 25 45
58 41 26 45
58 75 26 45
58 58 27 45
58 64 27 45
58 60 29 45
58 39 30 45
58 45 32 45
58 42 33 45
58 53 34 45
58 65 34 45
118 123 6 45
118 125 8 45
118 124 16 45
118 123 21 45
118 111 23 45
118 111 24 45
118 111 25 45
118 111 28 45
118 111 30 45
118 122 31 45
118 111 32 45
118 119 33 45
63 60 8 46
63 64 9 46
63 47 11 46
63 51 13 46
63 60 15 46
63 60 16 46
63 75 16 46
63 43 17 46
63 75 18 46
63 70 19 46
63 60 24 46
63 75 25 46
63 58 26 46
63 64 26 46
63 60 28 46
63 45 31 46
63 53 33 46
63 65 33 46
56 60 7 47
56 64 8 47
56 47 10 47
56 51 12 47
56 60 14 47
56 60 15 47
56 75 15 47
56 43 16 47
56 75 17 47
56 40 18 47
56 70 18 47
56 60 23 47
56 41 24 47
56 75 24 47
56 58 25 47
56 64 25 47
56 60 27 47
56 39 28 47
56 45 30 47
56 42 31 47
56 53 32 47
56 65 32 47
125 125 6 47
125 124 14 47
125 123 19 47
125 111 21 47
125 111 22 47
125 111 23 47
125 111 26 47
125 111 28 47
125 122 29 47
125 111 30 47
125 119 31 47
125 109 34 47
54 60 6 48
54 64 7 48
54 47 9 48
54 51 11 48
54 60 13 48
54 60 14 48
54 43 15 48
54 40 17 48
54 70 17 48
54 60 22 48
54 41 23 48
54 58 24 48
54 64 24 48
54 60 26 48
54 39 27 48
54 45 29 48
54 42 30 48
54 53 31 48
54 65 31 48
78 60 6 48
78 64 7 48
78 91 8 48
78 91 9 48
78 91 10 48
78 60 13 48
78 60 14 48
78 75 14 48
78 92 15 48
78 75 16 48
78 70 17 48
78 91 19 48
78 60 22 48
78 75 23 48
78 58 24 48
78 64 24 48
78 60 26 48
78 87 26 48
78 65 31 48
78 75 34 48
51 60 5 49
51 64 6 49
51 47 8 49
51 51 10 49
51 60 12 49
51 60 13 49
51 43 14 49
51 40 16 49
51 70 16 49
51 60 21 49
51 41 22 49
51 58 23 49
51 64 23 49
51 60 25 49
51 39 26 49
51 45 28 49
51 42 29 49
51 53 30 49
51 65 30 49
51 42 34 49
89 91 7 49
89 91 8 49
89 91 9 49
89 75 13 49
89 92 14 49
89 75 15 49
89 70 16 49
89 91 18 49
89 75 22 49
89 87 25 49
89 75 33 49
89 75 34 49
35 47 6 51
35 51 8 51
35 43 12 51
35 40 14 51
35 41 20 51
35 39 24 51
35 19 26 51
35 45 26 51
35 42 27 51
35 53 28 51
35 17 30 51
35 16 31 51
35 17 32 51
35 42 32 51
35 44 34 51
123 124 10 51
123 123 15 51
123 111 17 51
123 111 18 51
123 111 19 51
123 111 22 51
123 111 24 51
123 122 25 51
123 111 26 51
123 119 27 51
123 109 30 51
30 47 5 52
30 43 11 52
30 13 13 52
30 40 13 52
30 41 19 52
30 39 23 52
30 19 25 52
30 45 25 52
30 42 26 52
30 17 29 52
30 16 30 52
30 14 31 52
30 17 31 52
30 42 31 52
30 10 33 52
30 44 33 52
30 42 34 52
92 91 5 52
92 91 6 52
92 75 10 52
92 92 11 52
92 75 12 52
92 91 15 52
92 111 16 52
92 111 17 52
92 111 18 52
92 75 19 52
92 111 21 52
92 87 22 52
92 111 23 52
92 111 25 52
92 109 29 52
92 75 30 52
92 75 31 52
14 1 9 53
14 3 9 53
14 6 12 53
14 13 12 53
14 0 21 53
14 19 24 53
14 17 28 53
14 16 29 53
14 14 30 53
14 17 30 53
14 6 31 53
14 8 31 53
14 10 32 53
14 8 33 53
17 1 9 53
17 3 9 53
17 6 12 53
17 13 12 53
17 0 21 53
17 19 24 53
17 17 28 53
17 16 29 53
17 14 30 53
17 17 30 53
17 6 31 53
17 8 31 53
17 10 32 53
17 8 33 53
125 124 8 53
125 123 13 53
125 111 15 53
125 111 16 53
125 111 17 53
125 111 20 53
125 111 22 53
125 122 23 53
125 111 24 53
125 119 25 53
125 109 28 53
125 120 34 53
4 1 8 54
4 3 8 54
4 6 11 54
4 13 11 54
4 0 20 54
4 19 23 54
4 17 27 54
4 16 28 54
4 14 29 54
4 17 29 54
4 6 30 54
4 8 30 54
4 10 31 54
4 8 32 54
4 19 34 54
23 3 8 54
23 6 11 54
23 13 11 54
23 40 11 54
23 41 17 54
23 39 21 54
23 19 23 54
23 42 24 54
23 17 27 54
23 16 28 54
23 14 29 54
23 17 29 54
23 42 29 54
23 6 30 54
23 8 30 54
23 10 31 54
23 8 32 54
23 42 32 54
23 41 33 54
23 19 34 54
23 41 34 54
60 51 5 54
60 60 7 54
60 60 8 54
60 75 8 54
60 43 9 54
60 75 10 54
60 40 11 54
60 70 11 54
60 60 16 54
60 41 17 54
60 75 17 54
60 58 18 54
60 64 18 54
60 60 20 54
60 45 23 54
60 42 24 54
60 53 25 54
60 65 25 54
60 75 28 54
60 42 29 54
60 75 29 54
60 44 31 54
60 42 32 54
60 41 33 54
60 41 34 54
60 69 34 54
64 60 6 55
64 60 7 55
64 75 7 55
64 75 9 55
64 70 10 55
64 60 15 55
64 75 16 55
64 58 17 55
64 64 17 55
64 60 19 55
64 45 22 55
64 53 24 55
64 65 24 55
64 75 27 55
64 75 28 55
64 44 30 55
64 69 33 55
91 75 6 56
91 92 7 56
91 75 8 56
91 91 11 56
91 75 15 56
91 87 18 56
91 109 25 56
91 75 26 56
91 75 27 56
47 60 5 57
47 43 6 57
47 40 8 57
47 60 13 57
47 41 14 57
47 58 15 57
47 64 15 57
47 60 17 57
47 39 18 57
47 45 20 57
47 42 21 57
47 53 22 57
47 65 22 57
47 42 26 57
47 44 28 57
47 42 29 57
47 41 30 57
47 41 31 57
47 41 33 57
47 28 34 57
47 39 34 57
91 75 5 57
